restaurant_id,restaurant_name,cuisine_type,city,zip_code,is_managed,account_manager,monthly_orders,avg_order_value,monthly_revenue,conversion_rate,page_views,menu_item_count,has_photos,avg_delivery_time_min,customer_rating,review_count,days_on_platform,has_pos_integration,uses_ads,monthly_ad_spend,order_method_online_pct,order_method_phone_pct,last_menu_update_days_ago,signup_date
R058,Red Kitchen,Indian,Atlanta,30337,1,Emily Chen,637,18.31,11663.47,0.08,3748,60,1,21.85,3.65,160,816,1,1,388.59,0.58,0.42,82,2022-02-10
R059,Atlanta Spice House,Indian,Atlanta,30306,0,,236,30.27,7143.72,0.01,2127,93,0,45.82,3.29,47,159,0,0,0.0,0.75,0.25,137,2023-10-02
R060,Smoky Taqueria,Mexican,Atlanta,30346,0,,142,23.95,3400.9,0.08,50,38,1,53.45,3.21,126,504,0,0,0.0,0.36,0.64,118,2023-09-07
R061,Sunny House,Chinese,Atlanta,30344,0,,274,22.57,6184.18,2.0,2719,31,1,56.29,4.16,61,450,0,0,0.0,0.75,0.25,142,2023-10-11
R062,Green Pier,Seafood,Atlanta,30331,0,,40,29.88,1195.2,0.07,50,77,0,44.58,4.51,15,607,1,0,0.0,0.24,0.76,303,2022-03-05
R063,Sunny Palace,Indian,Atlanta,30337,0,,133,24.83,3302.39,0.06,614,59,1,36.82,3.32,5,468,0,0,0.0,0.48,0.52,116,2023-01-22
R064,Little Taverna,Mediterranean,Atlanta,30312,0,,357,37.05,13226.85,0.07,1160,33,1,47.12,3.76,84,641,1,0,0.0,0.63,0.37,124,2020-06-05
R065,Big Teriyaki,Japanese,Atlanta,30311,1,Jake Thompson,665,25.42,16904.3,0.09,4282,16,1,29.08,4.49,140,570,1,0,0.0,0.69,0.31,18,2025-08-09
R066,Buckhead Fish House,Seafood,Atlanta,30342,0,,189,25.02,4728.78,3.0,1424,69,0,55.72,3.19,124,92,0,1,142.34,0.53,0.47,130,2024-05-03
R067,Sweet Tandoor,Indian,Atlanta,30328,0,,199,20.64,4107.36,0.02,217,61,0,44.41,3.64,57,270,0,0,0.0,0.52,0.48,119,2025-02-17
R068,Spicy Eatery,American,Atlanta,30305,0,,233,13.92,3243.36,0.04,1082,56,0,37.52,4.77,110,729,0,0,0.0,0.36,0.64,185,2024-12-06
R069,Smoky Orchid,Thai,Atlanta,30341,0,,137,20.63,2826.31,0.04,50,89,1,40.74,4.1,24,821,0,0,0.0,0.58,0.42,234,2025-01-05
R070,Sizzling Tavern,American,Atlanta,30336,1,Emily Chen,212,17.84,3782.08,0.12,50,51,1,43.44,4.41,33,310,1,1,130.34,0.54,0.46,36,2021-09-20
R071,Savory Cafe,Mediterranean,Atlanta,30337,0,,166,19.41,3222.06,0.03,50,85,0,52.67,3.46,78,582,0,0,0.0,0.62,0.38,105,2025-07-04
R072,Blue Pizzeria,Italian,Atlanta,30307,1,Jake Thompson,1138,30.43,34629.34,0.12,4354,91,1,31.25,4.06,180,545,1,1,266.82,0.72,0.28,51,2022-07-07
R073,Happy Cantina,Mexican,Atlanta,30318,0,,181,24.66,4463.46,0.02,863,48,1,57.93,3.9,5,517,0,1,369.49,0.46,0.54,20,2023-11-12
R074,Little Express,Chinese,Atlanta,30350,0,,226,32.24,7286.24,0.04,1259,63,1,46.92,3.8,18,1193,0,0,0.0,0.38,0.62,74,2021-05-27
R075,West Ramen House,Japanese,Atlanta,30350,0,,70,30.98,2168.6,0.07,50,15,1,34.73,4.52,46,214,0,0,0.0,0.4,0.6,82,2023-04-01
R076,Peachtree Ramen House,Japanese,Atlanta,30332,1,Emily Chen,278,17.22,4787.16,0.1,1138,47,0,34.82,3.92,169,429,1,1,299.95,0.74,0.26,41,2021-05-16
R077,Southern Ramen House,Japanese,Atlanta,30312,0,,249,28.84,7181.16,0.03,1202,73,0,35.48,4.61,9,603,0,0,0.0,0.86,0.14,181,2025-09-01
R078,Lucky Kitchen,Mediterranean,Atlanta,30350,1,David Washington,747,27.47,20520.09,0.05,1474,58,1,35.13,4.48,105,827,1,1,94.61,0.6,0.4,24,2025-01-18
R079,Sweet Ribs & Wings,BBQ,Atlanta,30310,0,,280,30.76,8612.8,0.06,365,75,0,52.69,4.02,64,477,0,1,10.0,0.56,0.44,119,2023-07-28
R080,Fresh Express,Chinese,Atlanta,30324,0,,66,22.03,1453.98,0.02,1076,57,1,34.58,4.09,95,238,0,0,0.0,0.48,0.52,280,2022-07-21
R081,Midtown Steakhouse,American,Atlanta,30313,0,,5,24.55,122.75,0.02,50,37,1,32.29,4.07,5,705,0,0,0.0,0.21,0.79,181,2020-09-12
R082,Atlanta Dragon,Chinese,Atlanta,30346,1,David Washington,849,25.92,22006.08,0.05,4965,48,1,38.11,3.96,157,378,1,0,0.0,0.63,0.37,50,2023-05-04
R083,Crispy Ramen House,Japanese,Atlanta,30341,0,,133,31.07,4132.31,0.05,50,33,0,52.36,3.0,51,365,0,0,0.0,0.41,0.59,229,2022-11-16
R084,Happy Kitchen,Mediterranean,Atlanta,30345,0,,156,33.64,5247.84,0.07,2771,72,1,42.49,4.11,21,896,0,1,500.0,0.41,0.59,221,2025-05-02
R085,West Kitchen,Mediterranean,Atlanta,30322,1,David Washington,871,25.54,22245.34,0.1,2292,51,1,20.34,4.57,130,965,1,0,0.0,0.35,0.65,33,2023-03-31
R086,Golden Bistro,American,Atlanta,30349,0,,106,30.88,3273.28,0.04,50,65,0,38.56,3.78,107,363,0,0,0.0,0.71,0.29,231,2023-04-23
R087,Sunny Oyster Bar,Seafood,Atlanta,30314,1,Aisha Mohammed,552,29.36,16206.72,0.06,1396,69,1,36.1,4.29,132,617,1,1,10.0,0.87,0.13,32,2022-08-25
R088,Sunny Diner,American,Atlanta,30339,0,,135,31.73,4283.55,0.07,1790,92,1,36.71,3.69,55,728,0,0,0.0,0.34,0.66,207,2025-04-12
R089,Modern Pit,BBQ,Atlanta,30318,1,Marcus Lee,191,24.83,4742.53,0.05,2273,15,1,28.5,4.26,75,343,1,1,10.0,0.67,0.33,22,2021-06-24
R090,Urban Grill,BBQ,Atlanta,30349,1,Sarah Johnson,561,17.64,9896.04,0.08,3104,72,1,32.08,3.89,132,497,0,0,0.0,0.64,0.36,9,2022-01-07
R091,Rustic House,Chinese,Atlanta,30334,0,,190,31.08,5905.2,0.03,915,104,1,37.45,4.04,33,899,1,0,0.0,0.49,0.51,226,2023-05-07
R092,Sunny Taverna,Mediterranean,Atlanta,30336,0,,15,28.01,420.15,0.03,2141,53,0,37.17,3.23,55,639,1,1,185.78,0.7,0.3,175,2020-07-18
R093,Sizzling Trattoria,Italian,Atlanta,30332,0,,47,28.8,1353.6,0.05,341,110,0,26.79,3.54,39,399,0,0,0.0,0.35,0.65,137,2023-02-01
R094,Buckhead Kitchen,American,Atlanta,30336,1,Jake Thompson,776,27.6,21417.6,0.07,1726,30,1,35.01,4.64,138,814,0,1,159.77,0.66,0.34,7,2025-12-10
R095,Fresh Dragon,Chinese,Atlanta,30319,1,Carlos Rivera,681,24.82,16902.42,0.1,2484,58,1,30.29,4.23,115,1086,1,1,295.75,0.67,0.33,46,2023-09-25
R096,Big Sushi Bar,Japanese,Atlanta,30316,1,Carlos Rivera,665,25.29,16817.85,0.12,2173,44,0,22.18,4.13,83,852,1,1,59.72,0.64,0.36,87,2025-04-07
R097,Big Spice House,Indian,Atlanta,30329,0,,355,37.5,13312.5,0.06,2343,20,1,33.96,4.01,100,396,0,0,0.0,0.45,0.55,70,2025-06-24
R098,Southern Kitchen,Mediterranean,Atlanta,30328,1,Priya Patel,935,30.81,28807.35,0.11,5920,84,1,30.06,4.79,193,632,1,1,204.08,0.73,0.27,35,2022-06-14
R099,Southern BBQ,BBQ,Atlanta,30306,0,,54,20.0,1080.0,2.0,96,53,0,37.74,5.0,100,659,0,0,0.0,0.56,0.44,127,2021-01-29
R100,Green Pit,BBQ,Atlanta,30315,0,,113,22.87,2584.31,0.05,50,59,0,36.2,4.7,145,1050,0,1,103.3,0.58,0.42,23,2021-12-02
